,author,comment,published_time
129,josejaime5155,Turn to Jesus and Repent of your sins 🙏Amen.,2024-03-21T21:46:33Z
130,tokapelotouslotakia,1,2024-03-20T22:50:54Z
131,fatemazui6819,Dojiiiiiiii,2024-03-19T20:17:58Z
132,Fxze_Gxrsimrxt,KSI UR MOM STINKS,2024-03-19T18:04:53Z
133,ValeriVassilev,"How does Danny get imposter every video bro? I think he might be hacking, there is a cheat will allows you to be imposter infinite times. He's sus!",2024-03-19T12:35:28Z
134,korypurcell810,deji and ksi be screaming every video jesus,2024-03-18T19:16:19Z
135,victorm.6760,Randy calling anybody s*it at the game is hilarious lol,2024-03-16T00:42:48Z
136,d0nkey083,9:21 it sounds like Tobi's laugh transitioned into Deji's lol.,2024-03-15T19:26:14Z
137,demonuchiha3026,Lazar either plays like a genius 500iq controlling the whole sideman or just rages,2024-03-15T10:00:27Z
138,BrotherOpal,Bro sabotage cam is very good here,2024-03-14T05:18:41Z
139,yadhavanp2432,Deji man😭😭,2024-03-08T21:56:53Z
140,samwhitehouse8880,Danny Aarons is so self centered its crazyyyy,2024-03-06T10:15:21Z
141,Hi_10819,"turn to GOD and repent men Through CHRIST, GOD bless you all GOD loves you all,pray❤❤❤
Repent=knowing your sins, confessing your sins, actually feeling sorry for your sins, asking the ALL MERCIFUL GOD for mercy, and changing your ways",2024-02-29T10:38:10Z
142,rogeriooz82,What type dog 8s that simon,2024-02-28T07:22:39Z
143,Abd.3568,Why is callux recording on a potato,2024-02-25T18:43:37Z
144,RobScutt,18:05 🤣,2024-02-24T13:45:15Z
145,darthyoda8170,Lannan was actually a goated ninja,2024-02-24T13:16:12Z
146,LouisCroser-xy9xg,8:33 Lachy saying someone got my back meanwhile he put a camera on his roof,2024-02-24T11:06:17Z
147,the90skiddo21,20:19  vik that was too cringe 😖,2024-02-23T15:05:30Z
148,KingSia112,Uhm are we gonna talk about what lachlan was whatcing on tiktok ayooo,2024-02-22T22:32:46Z
149,maughan72,Cal needs to upgrade his set up. Love the vids but his recordings hurts my eyes. Distortion is unbelievable. Keep the among us going tho,2024-02-22T00:06:29Z
150,willisisawesome,Lazar is the fucking best. What amazing content. Glad Lachy was a good sport about it.,2024-02-21T13:51:57Z
151,Outism.,0:40 Simon I didn't see Talia behind u,2024-02-20T22:46:39Z
152,zacdesmith7499,lannan is goated,2024-02-20T10:50:46Z
153,ktd_ot7,Lazar done it 😂😂,2024-02-20T05:45:55Z
154,SilverGate007,A,2024-02-15T19:53:07Z
155,haroldwinstanley-zu5gl,Why is it so much better when KSI isn’t there?,2024-02-12T09:14:51Z
156,user-zp9go4qp8r,20:01 if you listen carefully you can hear someone vaping,2024-02-12T09:01:02Z
157,quilt7370,25:12 😭😭😭 deji man,2024-02-09T05:51:43Z
158,sunnnnn55,pretty obvious this was staged but still cool,2024-02-09T00:38:28Z
159,ditditishalashala7336,imagine  if  Lachlan and Lazar got imposter together lol,2024-02-06T19:14:45Z
160,Kuuj12,Love DANNY in these,2024-02-06T15:10:03Z
161,user-ht6qe8oq4f,Deji stupid,2024-02-04T16:56:11Z
162,robertbailey-si1yl,Ksi stop talking bout people's mum's and wipe you bum the right way shit balls 🤣🤣🤣🤣🤣,2024-02-03T00:08:22Z
163,ThatDudeofCourse-dg6kq,This title is not right,2024-02-02T12:01:37Z
164,lioninaboxgames,"Their editing and support team is amazing!
I would love to know from the sidemen how to hire the right crew!",2024-01-27T12:09:48Z
165,Turtleneck10,Lachlans red bull fridge makes me so jealous,2024-01-21T02:45:00Z
166,LuxFNYT,Lazarbeam master class,2024-01-19T22:20:49Z
167,elkqz6473,Imagine if ninja got a low taper fade 🗣,2024-01-17T10:13:21Z
168,samcleary4058,I bet this comment won’t get above 10 likes,2024-01-17T07:07:58Z
169,samcleary4058,Hi,2024-01-17T07:06:16Z
170,LowercaseKev,This one is a classic for me right now flfor their among us games.  Lachlan being marinated that whole round and then Vik getting Tobi to pinky promise and ssying “I like that for you Tobi” 😂😂,2024-01-13T22:25:36Z
171,hugoburn8859,no one is talking about lachlans tiktok?,2024-01-13T03:09:03Z
172,User20060,20:45,2024-01-12T18:57:30Z
173,the_only_nabil3840,9:10   Reminds me of good ol days 🧔🏿🌼,2024-01-12T10:36:12Z
174,hadassahwakaniyasi5968,Like you cut G!8:14,2024-01-08T16:37:41Z
175,hadassahwakaniyasi5968,What is bro watching?? 3:53,2024-01-08T16:32:11Z
176,GacktLove101,"Is it just me who laughs so hard when Deji says, ""crewmate"" 😂😂😂😂@0:47",2024-01-08T09:42:56Z
177,yarobeeldens35,lazarbeam x lachlan is the best duo on among us,2024-01-07T19:55:58Z
178,kungpochopedtuna,BLUE!,2024-01-01T19:05:16Z
179,harleysaunders7235,"29:45 
Tobi : on my life 
Danny: fck your life",2024-01-01T18:05:28Z
180,harleysaunders7235,"29:41
Tobi: on my life 
Danny: Fck your life",2024-01-01T18:04:37Z
181,scotttocs,23:26 Danny jumps in game 😂,2023-12-31T12:54:06Z
182,gawaincommandeur2964,Never invite lux again,2023-12-30T00:45:17Z
183,drbe7388,I get serious headaches from each of these videos I watch and I love it😭,2023-12-30T00:42:18Z
184,user_not_addicted,Lazar Playing Ninja is the best thing on YouTube,2023-12-29T17:13:58Z
185,THEWalrus271,Danny ruined this what a surprise the annoying prick,2023-12-29T11:02:42Z
186,typestufff,Repent Jesus Christ is coming soon,2023-12-26T20:53:59Z
187,typestufff,Matthew 3:2,2023-12-26T20:53:43Z
188,fragilepumaxo,"""do you promise yeah? he was frothing from the mouth"" 😂",2023-12-26T17:32:53Z
